do you speak english,dont_speak_arabe
kathdri b anglais ?,dont_speak_arabe
tu parle francais,dont_speak_arabe
can you speak english ?,dont_speak_arabe
I don't speak arabic,dont_speak_arabe
je parle pas l'arabe,dont_speak_arabe
pouvez vous parler en francais,dont_speak_arabe
kathder b français,dont_speak_arabe
الى اللقاء,goodbye
بسلاما,goodbye
نشوفوك,goodbye
تهلا,goodbye
تهلاي فراسك,goodbye
bye,goodbye
good bye,goodbye
see you later,goodbye
طهلاي,goodbye
beslama,goodbye
بسلامة بون كوراج 😍,goodbye
اكي عاون ربي بسلاما,goodbye
تهالا فراسك بسلامة,goodbye
وداعا,goodbye
see you,goodbye
مع السلامة,goodbye
slm,greeting
wash,greeting
pss pss,greeting
hey,greeting
صباح النور,greeting
صباح الخير,greeting
hola,greeting
fiin,greeting
bsr,greeting
bonsoir,greeting
salut,greeting
afin,greeting
salam,greeting
hi,greeting
cc,greeting
وا فين,greeting
مرحبا,greeting
slt,greeting
bjr,greeting
bonjour,greeting
سلم,greeting
سلام,greeting
what is your name,greeting
سلان,greeting
عشيرتي,greeting
hello,greeting
feen,greeting
السلام,greeting
فين البوت,greeting
عشيري,greeting
واش اخاي,greeting
dhaktini,haha
هههههههههههههههههههه,haha
هيهيهيهيهيهيههيهيهي,haha
hhhhhhhhhhhhhhh,haha
hhhhhhhhhh,haha
dahaktini,haha
هههههههههههههههههههههههه,haha
هاهاهاهااهاهاهاها,haha
hhhghgghhhhhhhghhh,haha
hhhhhhhhhhhhhhhhhhhghg,haha
ضحكتيني,haha
hahahhahahahhahahaha,haha
da7aktini,haha
كيداير بخير ؟,how_are_you
لاباس عليك,how_are_you
لباس عليك,how_are_you
كي دايرا الاومور,how_are_you
لباس ؟,how_are_you
كلشي هانية ؟,how_are_you
فين صافا,how_are_you
واش ضروري الكمامة ؟,Museau
Museau,Museau
Masque,Museau
ندير كمامة,Museau
kmama kindir lbasha,Museau
kmama,Museau
علاش خاص نديرو الكمامات,Museau
علاش لبس كمامة,Museau
kemama,Museau
كفاش ندير نلبس كمامة,Museau
kifash ndir kmama,Museau
واش ضروري خاصني نستعمل الكمامة؟,Museau
kindir lbass kmama,Museau
la,no
ma3andi bach n3wnk ri ser,no
ماشي شغلك,no
لا قلت ليك علاش بغيتي سميتي,no
ماعنديش سمية,no
لا مغانسولكش,no
ماشي سوقك,no
اشنو متعرفي ديري,no
علاش بغيتي تعرفي سميتي,no
لا صافي,no
مباغاش,no
لائح,no
مبغيتش,no
لا مبغيتش,no
منقدرش,no
Non,no
nn,no
Nope,no
sme7li man9derch,no
no,no
لا,no
la man9derch,no
امم انا فنظري,opinion
انا بان ليا,opinion
انا بان ليا امريكا هيا لي متضررة بزاف حاليا,opinion
ana banlya,opinion
banli bli,opinion
بانلي بلي,opinion
هل سنعود لحياتنا الطبيعية,quarantine
Fu9ash issali lhajr sihi,quarantine
Fu9ash issali lhajr sihhi,quarantine
بغيت نخرج من الدار,quarantine
إمتا غايسالي الحجر الصحي,quarantine
ماغانخرجوش ف 20 ابريل,quarantine
quarantine,quarantine
7ajr,quarantine
واش غادي يزيد يتمدد الحجر الصحي,quarantine
الحجر,quarantine
ماغانخرجوش ف 20 ابريل غير تهناي,quarantine
ما هي عقوبة مخالف الحجر الصحي؟,quarantine
confinement,quarantine
إمتا غايسالي هدشي,quarantine
واش نقدر نخرج من الدار,quarantine
واش غانخرجو في 20 ابريل؟,quarantine
وقتاش غايسالي الحجر الصحي,quarantine
شكرا بزاف,thanking
mrc,thanking
شكرا,thanking
الله احفظك,thanking
ربي يحفظك,thanking
ربي يخليك,thanking
merci,thanking
merci bcp,thanking
merci beaucoup,thanking
ty,thanking
thanks,thanking
thank you,thanking
الله اخليك,thanking
ميغسي,thanking
الله يرحمهم.. برافو رغد,thanking
شكرا ليك,thanking
كلشي مزيان تبارك الله عليكم,thanking
شكرا بزاف على الأجوبة,thanking
chokran,thanking
chkon san3ak,who_made_me
شكون صنعك,who_made_me
chkon li dark,who_made_me
شكون اخترعك,who_made_me
شكون لي دارك,who_made_me
شكون صايبك,who_made_me
شكون خلقك فالوجود,who_made_me
chkun dark,who_made_me
chkon saybk,who_made_me
chkon li saybak,who_made_me
علاش نسولك ؟,why
لا قلت ليك علاش بغيتي سميتي,why
قلت ليك علاش بغيتي سميتي,why
why ?,why
chno n9der nsswlk ?,why
pourquoi ?,why
3lash nçder nsswlk,why
3lach,why
شنو كتعرفي,why
علاش نقدر نسولك,why
wee,yes
ok,yes
d'accord,yes
dacc,yes
d'acc,yes
pq pas,yes
ahah,yes
ui,yes
pourquoi pas,yes
why not,yes
3lash la,yes
اوكي,yes
واخا صافي مشات,yes
واخا صافي,yes
واخا هانا مسولك,yes
اه واخا,yes
صافي مشات,yes
مشات,yes
اه,yes
اه مرحبا,yes
oui,yes
